parameter,baseline_value,value,effect
label,F_foreign_target025,cg_us_u_level_111,Selected exact pathwise common-growth mechanism case.
common_world_growth,false,true,Restores Notebook-12 pathwise common growth by recalibrating a local effective exponent at every absorbing switch-state BGP.
a_W,0.1,0.05,Halving RoW research productivity reduces the old-F implied nu_b from about 6.28 to a feasible value and stabilizes q_W.
xi_W,1.0,1.0,Kept high so RoW values share the common trend without the q_W collapse seen in literal fixed-nu_b roots.
nu_b_seed,0.1,0.1,Only the starting value supplied to the common-growth calibration.
nu_b_calibrated,0.1,0.6335190288619382,Global reference-BGP exponent that absorbs the remaining cross-country growth mismatch after the RoW adjustment.
nu_b_eff_min,not used,0.16817491550542232,Smallest switch-state effective exponent needed to preserve the common-growth identity.
nu_b_eff_max,not used,0.6335190288619382,Largest switch-state effective exponent; it must remain below nu_u to preserve exponent ordering.
max_switch_state_log_growth_gap,not audited,2.9097274242828597e-10,"Numerical error in the exact pathwise common-growth identity, rather than an allowed economic mismatch."
beta,0.45,0.35,Part of the jointly calibrated low-beta financial block; its isolated causal effect is not identified here.
kappa,1.0,0.75,Part of the jointly calibrated intermediate-friction block; its isolated causal effect is not identified here.
omega_bar_star,0.25,0.25,Held fixed at the robust foreign U.S.-equity target; it is not an adjusted driver of the selected comparison.
omega_bar,0.5,0.5,Kept at its admissible floor to avoid crowding out U.S. holdings of foreign equity.
vartheta_US,0.8,0.8,Kept high so U.S. growth news is transmitted into U.S. equity valuation.
chi,0.0002,0.0002,Held fixed and small; it is not an adjusted driver of the selected comparison.
eta,0.01,0.01,Held fixed; it is not an adjusted driver of the selected comparison.
nu_u,1.4,1.895,"Raised above the maximum state-specific nu_b_eff and close to xi_u, preserving exponent ordering and solver interiority."
xi_u,1.9,1.9,Kept fixed; raising both U.S. exponents increased CA faster than liability revaluation.
US_unbalanced_productivity_level_scale,1.0,1.11,The decisive local adjustment: it raises q_US relative to q_W and creates the liability price revaluation that makes NFA fall.
