label,family,note,status,horizon,hard_valid,classification,score,a_W,xi_W,beta,kappa,omega_bar,omega_bar_star,chi,eta,pi,vartheta_US,nu_u,xi_u,us_u_level,nu_b_seed,nu_b_calibrated,nu_b_eff_min,nu_b_eff_max,nu_b_eff_std,max_common_growth_level_gap,max_common_growth_log_gap,exact_common,extended_bgp_valid,max_extended_bgp_residual,exponent_ordering,robust_ordering_002,model_residuals,psi_interior,equity_interior,theta_interior,accounting_exact,target_end,target_rebased_NFA,target_ratio_change,target_VA_asset,target_VA_liability,target_VA_net,target_CA,target_CA_asset,target_CA_liability,target_CA_bond,target_residual,VA_driver_share,liability_share_of_gross_VA,foreign_exposure,target_Y_growth,target_q_US_growth,target_q_W_growth,tail_observed,post_target_rebased_change,post_target_NFA_level_move_over_Ye,tail_rebound,max_u_residual,max_bgp_residual,failure_reason
row_only_low_xiw,RoW growth only,Low xi_W makes common growth feasible but collapses q_W and produces an asset-led decomposition.,ok,15,true,first_window_common_growth_near_miss,23.040482621021603,0.1,0.2,0.45,1.0,0.5,0.25,0.0002,0.01,0.8,0.8,1.4,1.9,1.0,0.1,0.6498961915036449,0.639394460469785,0.650572066378995,0.0036022915479804194,8.906810844422353e-10,8.71904892035813e-10,true,true,9.504531446568352e-10,true,true,true,true,true,true,true,15,0.0558677464073803,0.09861961971025487,-0.24503631568232387,-0.00096759327879511,-0.24600390896111896,0.30187165536849925,0.3882405427074559,-0.03993204010302333,-0.04643684723593331,-5.9333892963279164e-18,0.44901420135816766,0.003933243511785167,0.20714642714400006,1.9654400836651114,1.0058188424733487,0.3162799692914952,false,,,,1.1397236772488005e-9,9.504531446568352e-10,
row_only_stable_qw,RoW growth only,Lower a_W stabilizes q_W but does not generate sufficient U.S.-liability revaluation.,ok,15,true,first_window_common_growth_near_miss,18.317656816057372,0.05,1.0,0.45,1.0,0.5,0.25,0.0002,0.01,0.8,0.8,1.4,1.9,1.0,0.1,0.7402538131435252,0.6101221988426979,0.7408964117303032,0.04029784739983388,1.358447043742217e-8,1.331723812128538e-8,true,true,9.952057608741587e-10,true,true,true,true,true,true,true,15,0.052091359246280854,0.07709374094550128,0.012686746075584473,-0.002547801731175558,0.010138944344408915,0.041952414901871925,0.10645507624276256,-0.04753946540739816,-0.016963195933492454,1.2601759749817944e-17,0.19463773821822097,0.16723842174331038,0.22179025845006856,1.7969008952617922,1.0150112569509653,1.0604888908967864,false,,,,1.2320599111024165e-9,9.952057608741587e-10,
prior_common_growth_winner,prior common-growth benchmark,Previous notebook-15 winner; included to measure the magnitude gain from the new objective.,ok,15,true,first_window_common_growth_partial_match,6.9171802262993305,0.05,1.0,0.35,0.75,0.5,0.25,0.0002,0.01,0.8,0.8,1.895,1.9,1.11,0.1,0.6335190288619382,0.3042456482435309,0.6335190288619382,0.09964234618568761,2.226610007483032e-10,2.2197038348006903e-10,true,true,9.772170433963723e-10,true,true,true,true,true,true,true,15,-0.00550436732821584,-0.004805610673565677,-0.0008941727063472054,-0.004702999847363029,-0.005597172553710234,9.280522549438554e-5,0.007858552216005812,-0.007568563360845919,-0.00019718362966550604,8.114251667693497e-18,0.9836897033528734,0.8402456422833563,0.17687759777566944,1.0330542327429921,1.0275653682919976,0.9961700120937644,false,,,,1.214820198345677e-9,9.772170433963723e-10,
oldF_level150_v080,time-invariant-centered joint search,Raises U.S. unbalanced productivity while retaining the old-F financial and exponent blocks.,ok,15,true,first_window_common_growth_near_miss,7.735812318774281,0.05,1.0,0.45,1.0,0.5,0.25,0.0002,0.01,0.8,0.8,1.4,1.9,1.5,0.1,0.7402538131435252,0.4016380788387346,0.7402538131435252,0.10327048212982667,1.1480045802869654e-9,1.1276642016000427e-9,true,true,9.58413549911885e-10,true,true,true,true,true,true,true,15,0.0059715128790789026,-0.003879111038138032,-0.001561654574340949,-0.012919106153753645,-0.014480760728094596,0.020452273607173485,0.06270063312271035,-0.0421233537523721,-0.0001250057631647674,1.0623466746128518e-17,0.4145291413599004,0.8921565928983874,0.17874847677868907,1.3079290169216558,1.0892067588313852,0.9925923593105995,false,,,,1.2632587880594116e-9,9.58413549911885e-10,
oldF_level150_v085,time-invariant-centered joint search,Adds stronger transmission from U.S. growth news to equity value.,ok,15,true,first_window_common_growth_partial_match,5.878089521571499,0.05,1.0,0.45,1.0,0.5,0.25,0.0002,0.01,0.8,0.85,1.4,1.9,1.5,0.1,0.9517532021679528,0.45004296765629803,0.9517532021679528,0.14976202674468275,9.264948808151985e-10,9.099488940123024e-10,true,true,9.817086530314988e-10,true,true,true,true,true,true,true,15,-0.020994745829688074,-0.027834322298959734,-0.007978055170481056,-0.01766665766117985,-0.025644712831660903,0.004649967001972818,0.0461572358481677,-0.04224791116792602,0.0007406423217311329,1.3961338393818823e-17,0.8465087920549556,0.6889005845824342,0.1896941576386145,1.1629164754479138,1.1104575360112772,0.9680005482223476,false,,,,1.283730328066598e-9,9.67196864265496e-10,
oldF_level180_v080,time-invariant-centered joint search,Checks whether a larger level shift alone can recover the target magnitude.,ok,15,true,first_window_common_growth_partial_match,5.9262739044352255,0.05,1.0,0.45,1.0,0.5,0.25,0.0002,0.01,0.8,0.8,1.4,1.9,1.8,0.1,0.7402538131435252,0.36308894873440306,0.7402538131435252,0.1131924560795731,1.0997620591979285e-9,1.0807749938057665e-9,true,true,9.40022398253277e-10,true,true,true,true,true,true,true,15,-0.020815633402410622,-0.02998581276118785,-0.011703911637127168,-0.015859201398372713,-0.027563113035499884,0.0067474796330892406,0.04426700858027855,-0.041249821117075224,0.0037302921698859235,2.0673625175492914e-17,0.8033412101544237,0.5753777295745539,0.16279908768091406,1.1415311688680103,1.1148825216152114,0.9535875859417304,false,,,,1.2204819860972648e-9,9.123703806346306e-10,
pathwise_hi_exp_pi080,time-invariant-centered joint search,"Raises both U.S. exponents equally, preserving the old 0.50 gap while making room for every effective nu_b.",ok,15,true,first_window_common_growth_strong_partial_match,4.799074081847661,0.06,1.0,0.45,1.0,0.5,0.25,0.0002,0.01,0.8,0.85,1.75,2.25,1.5,0.1,1.6606529874949896,0.6517692605936375,1.6606529874949896,0.29407926820913755,1.1408283207003933e-9,1.103284581749353e-9,true,true,9.680943374451528e-10,true,true,true,true,true,true,true,15,-0.03596358304818789,-0.04748700293921535,-0.01103096442182541,-0.036869116732684164,-0.047900081154509576,0.011936498106321657,0.07628766644650062,-0.061230337381431035,-0.003120830958747948,2.4884581580252752e-17,0.8005150318789156,0.7697088573557271,0.20429221231589098,1.304818404635316,1.2427631285665646,0.9514815511452,false,,,,1.2450705059029022e-9,9.680943374451528e-10,
pathwise_hi_exp_pi075,time-invariant-centered joint search,"Preferred center: preserves the financial block and exponent gap, with slightly faster transition timing.",ok,15,true,first_window_common_growth_strong_partial_match,4.748482252637934,0.06,1.0,0.45,1.0,0.5,0.25,0.0002,0.01,0.75,0.85,1.75,2.25,1.5,0.1,1.6606529874949896,0.6446196316051729,1.6606529874949896,0.2954386589129418,1.1783256592678981e-9,1.1397925867018266e-9,true,true,9.756933802562706e-10,true,true,true,true,true,true,true,15,-0.037943326252598476,-0.04957089867093036,-0.011597883937201155,-0.03706228314209222,-0.048660167079293375,0.010716840826694905,0.07430999253518954,-0.06128177892918757,-0.00231137277930708,-2.4729589978148513e-18,0.8195119423386423,0.7616554846944522,0.2051585493487886,1.2868322502034053,1.241661118245152,0.9492637776451763,false,,,,1.1699474410501948e-9,9.756933802562706e-10,
pathwise_hi_exp_omega055,financial perturbation,Tests whether a higher home U.S. equity target improves the decomposition.,ok,15,true,first_window_common_growth_partial_match,5.168124576771079,0.06,1.0,0.45,1.0,0.55,0.25,0.0002,0.01,0.75,0.85,1.75,2.25,1.5,0.1,1.45942913573605,0.6311381488411544,1.45942913573605,0.24554856301335654,1.0958549623296676e-9,1.0604332759123203e-9,true,true,9.978755668993422e-10,true,true,true,true,true,true,true,15,-0.024944802796908205,-0.035000668832435494,-0.006837447545756875,-0.03378489371720854,-0.04062234126296541,0.015677538466057236,0.0750863852791037,-0.05571188597384239,-0.0036969608392040773,-3.028984050835705e-17,0.7215351339733779,0.8316825831998403,0.19763800810464302,1.368096542648841,1.232599078339421,0.9636631982951354,false,,,,1.1046378072017011e-9,9.978755668993422e-10,
pathwise_hi_exp_omegastar030,financial perturbation,Tests whether a higher foreign U.S.-equity target improves the decomposition.,ok,15,true,first_window_common_growth_partial_match,5.507993412714109,0.06,1.0,0.45,1.0,0.5,0.3,0.0002,0.01,0.75,0.85,1.75,2.25,1.5,0.1,1.1260326484181697,0.5066897732974567,1.1260326484181697,0.1871354841566306,1.409437677679648e-9,1.366943107317109e-9,true,true,9.038726312245585e-10,true,true,true,true,true,true,true,15,-0.009705813111157735,-0.014269345651295274,-0.002777005208702244,-0.036059608092482945,-0.038836613301185194,0.029130800190027437,0.09783061617098776,-0.06236408116511467,-0.006335734815845662,2.3893499514036972e-17,0.5714004889446955,0.9284951757465038,0.22053936596255622,1.5249679047914153,1.2332705049720287,0.9852402920026341,false,,,,9.98076217121191e-10,9.038726312245585e-10,
